model,alg,workers,time,date,sccs,ustates,utrans,tstates,ttrans,initstates,selfloop,claimdead,claimfound,claimsuccess
bakery.6,ufscc,4,1.49298,2015-09-05.01:30:04,2636212,11845035,40400559,12473498,42484479,11,0,7280319,23331135,11873025
cambridge.6,ufscc,4,0.359808,2015-09-05.01:30:05,8413,3354295,9483191,3384618,9576841,4,0,9762,6204837,3362242
L1750L1750T1,ufscc,4,1.885677,2015-09-05.01:30:10,3,9198003,24528008,15096653,41833222,6,0,11640352,17444811,12748059
L350L350T4,ufscc,4,0.326055,2015-09-05.01:30:12,31,3819231,11334492,3922389,11671211,18,0,3877352,3922108,3871751
L4L4T16,ufscc,4,0.252908,2015-09-05.01:30:13,131071,3276775,9830300,3281046,9843655,26,0,3150207,3413473,3279975
leader_filters.7,ufscc,4,1.773932,2015-09-05.01:30:24,26302351,26302351,91692858,26516503,92509541,491,0,65970037,0,26539504
Li10Lo200,ufscc,4,0.56885,2015-09-05.01:30:26,100,4000000,15200000,4859627,18376611,27,0,8698936,5111770,4565905
Li200Lo10,ufscc,4,0.917619,2015-09-05.01:30:28,40000,4000000,15960000,5149962,20014188,164,0,9822439,5713379,4478370
Li50Lo40,ufscc,4,0.590037,2015-09-05.01:30:31,2500,4000000,15840000,4618992,18081759,126,0,8911802,4775125,4394832
lup.3,ufscc,4,0.322307,2015-09-05.01:30:31,1,1948617,3621672,2208285,4107268,4,0,0,2126121,1981147
resistance.1,ufscc,4,1.779237,2015-09-05.01:30:37,3,13762624,32052024,14667838,34174656,4,0,1,19965582,14209073
sorter.3,ufscc,4,0.097774,2015-09-05.01:30:38,1177164,1288478,2740540,1352382,2871167,58,262354,1067467,188889,1352457
bakery.6,ufscc,6,1.192319,2015-09-05.01:30:43,2636212,11845035,40400559,12926496,43917514,16,0,7328464,24658406,11930644
cambridge.6,ufscc,6,0.274352,2015-09-05.01:30:44,8413,3354295,9483191,3389992,9586085,6,0,9776,6207405,3368904
L1750L1750T1,ufscc,6,0.947209,2015-09-05.01:30:48,3,9198003,24528008,13177547,33976850,7,0,7621753,13564520,12790577
L350L350T4,ufscc,6,0.303342,2015-09-05.01:30:49,31,3819231,11334492,4284048,13064671,22,0,4498038,4403650,4162983
L4L4T16,ufscc,6,0.196769,2015-09-05.01:30:51,131071,3276775,9830300,3313567,9942398,79,0,3181364,3455648,3305386
leader_filters.7,ufscc,6,1.415583,2015-09-05.01:31:01,26302351,26302351,91692858,26507212,92471508,772,0,65935039,0,26536469
Li10Lo200,ufscc,6,0.4987,2015-09-05.01:31:03,100,4000000,15200000,5372238,20092926,36,0,9443558,5661251,4988117
Li200Lo10,ufscc,6,0.826383,2015-09-05.01:31:05,40000,4000000,15960000,4748669,18794157,587,0,9291850,4993652,4508655
Li50Lo40,ufscc,6,0.522555,2015-09-05.01:31:08,2500,4000000,15840000,4825937,18924106,179,0,9324271,5018550,4581285
lup.3,ufscc,6,0.304878,2015-09-05.01:31:08,1,1948617,3621672,2629529,4984344,6,0,1,2951279,2033064
resistance.1,ufscc,6,1.232758,2015-09-05.01:31:13,3,13762624,32052024,14725231,34470723,6,0,1,20368819,14101903
sorter.3,ufscc,6,0.09501,2015-09-05.01:31:14,1177164,1288478,2740540,1412381,2986688,87,272534,1101636,197169,1415349
bakery.6,ufscc,8,1.117427,2015-09-05.01:31:19,2636212,11845035,40400559,12574763,42914378,29,0,7314866,23681917,11917595
cambridge.6,ufscc,8,0.216885,2015-09-05.01:31:20,8413,3354295,9483191,3400160,9621696,8,0,9765,6240080,3371851
L1750L1750T1,ufscc,8,1.211478,2015-09-05.01:31:24,3,9198003,24528008,17496553,44714576,10,0,11253559,18087689,15373328
L350L350T4,ufscc,8,0.225675,2015-09-05.01:31:26,31,3819231,11334492,3987830,11935913,24,0,3984684,4031627,3919602
L4L4T16,ufscc,8,0.130312,2015-09-05.01:31:27,131071,3276775,9830300,3283204,9849893,83,0,3152203,3417336,3280354
leader_filters.7,ufscc,8,1.005293,2015-09-05.01:31:37,26302351,26302351,91692858,26424750,92142173,963,0,65701687,0,26440486
Li10Lo200,ufscc,8,0.488845,2015-09-05.01:31:39,100,4000000,15200000,5877903,21938581,44,0,10276004,6318021,5344556
Li200Lo10,ufscc,8,0.6205,2015-09-05.01:31:41,40000,4000000,15960000,5437102,21094808,170,0,10378843,6095832,4620133
Li50Lo40,ufscc,8,0.554624,2015-09-05.01:31:44,2500,4000000,15840000,5278880,20631730,234,0,10151199,5578723,4901808
lup.3,ufscc,8,0.163392,2015-09-05.01:31:44,1,1948617,3621672,2063932,3841967,8,0,0,1880483,1961484
resistance.1,ufscc,8,1.74171,2015-09-05.01:31:50,3,13762624,32052024,16126380,37689583,8,0,1,22625170,15064412
sorter.3,ufscc,8,0.104651,2015-09-05.01:31:50,1177164,1288478,2740540,1428392,3019285,128,277002,1118112,188360,1435811
bakery.6,ufscc,12,0.808381,2015-09-05.01:31:55,2636212,11845035,40400559,12865294,43840188,25,0,7361772,24542696,11935720
cambridge.6,ufscc,12,0.169174,2015-09-05.01:31:56,8413,3354295,9483191,3417043,9669976,12,0,9836,6283936,3376204
L1750L1750T1,ufscc,12,1.078792,2015-09-05.01:32:00,3,9198003,24528008,21799545,55936559,14,0,12917786,23925384,19093389
L350L350T4,ufscc,12,0.426801,2015-09-05.01:32:02,31,3819231,11334492,4461597,13632990,30,0,4753681,4739433,4139876
L4L4T16,ufscc,12,0.267577,2015-09-05.01:32:03,131071,3276775,9830300,3562103,10660842,160,0,3382473,3794129,3484240
leader_filters.7,ufscc,12,0.848069,2015-09-05.01:32:13,26302351,26302351,91692858,26551764,92651819,1430,0,66066582,0,26585237
Li10Lo200,ufscc,12,0.314337,2015-09-05.01:32:15,100,4000000,15200000,5819102,21543156,63,0,9974415,6434363,5134378
Li200Lo10,ufscc,12,0.332809,2015-09-05.01:32:17,40000,4000000,15960000,4685339,18387744,1027,0,9071297,5047163,4269284
Li50Lo40,ufscc,12,0.327769,2015-09-05.01:32:19,2500,4000000,15840000,4577754,17910199,331,0,8802641,4767272,4340286
lup.3,ufscc,12,0.139342,2015-09-05.01:32:19,1,1948617,3621672,2201947,4117521,12,0,0,2141996,1975525
resistance.1,ufscc,12,1.353513,2015-09-05.01:32:25,3,13762624,32052024,16644277,38892837,12,0,1,23778862,15113974
sorter.3,ufscc,12,0.050668,2015-09-05.01:32:25,1177164,1288478,2740540,1375513,2907941,151,265511,1075734,188643,1378053
bakery.6,ufscc,16,0.738612,2015-09-05.01:32:30,2636212,11845035,40400559,12278340,41865284,37,0,7290456,22679175,11895653
cambridge.6,ufscc,16,0.149742,2015-09-05.01:32:31,8413,3354295,9483191,3422065,9686025,16,0,9781,6296214,3380030
L1750L1750T1,ufscc,16,0.844074,2015-09-05.01:32:34,3,9198003,24528008,22684426,53070973,18,0,10749266,23019227,19302480
L350L350T4,ufscc,16,0.267312,2015-09-05.01:32:36,31,3819231,11334492,5538147,16998531,37,0,6018694,6110294,4869543
L4L4T16,ufscc,16,0.083624,2015-09-05.01:32:37,131071,3276775,9830300,3304328,9912378,232,0,3171410,3445784,3295184
leader_filters.7,ufscc,16,0.680147,2015-09-05.01:32:47,26302351,26302351,91692858,26574924,92752605,1789,0,66153947,0,26598658
Li10Lo200,ufscc,16,0.310196,2015-09-05.01:32:49,100,4000000,15200000,6124837,22396422,78,0,10242508,6486773,5667141
Li200Lo10,ufscc,16,0.433087,2015-09-05.01:32:51,40000,4000000,15960000,5298648,20829684,1021,0,10284775,5790518,4754391
Li50Lo40,ufscc,16,0.335888,2015-09-05.01:32:53,2500,4000000,15840000,5198012,20290944,423,0,9958497,5556743,4775704
lup.3,ufscc,16,0.180642,2015-09-05.01:32:53,1,1948617,3621672,2382367,4468622,16,0,1,2456327,2012294
resistance.1,ufscc,16,1.188953,2015-09-05.01:32:58,3,13762624,32052024,17593045,41350274,16,0,1,25673949,15676324
sorter.3,ufscc,16,0.043117,2015-09-05.01:32:59,1177164,1288478,2740540,1363100,2882670,250,262915,1068717,186442,1364596
bakery.6,ufscc,24,0.645006,2015-09-05.01:33:03,2636212,11845035,40400559,12630832,43051255,57,0,7377905,23730784,11942566
cambridge.6,ufscc,24,0.123638,2015-09-05.01:33:05,8413,3354295,9483191,3420547,9686437,24,0,9819,6294665,3381953
L1750L1750T1,ufscc,24,0.949871,2015-09-05.01:33:08,3,9198003,24528008,25930899,64553666,26,0,14856222,26898175,22799269
L350L350T4,ufscc,24,0.223383,2015-09-05.01:33:10,31,3819231,11334492,5295924,16204594,43,0,5729626,6034841,4440127
L4L4T16,ufscc,24,0.142168,2015-09-05.01:33:11,131071,3276775,9830300,3520825,10544276,341,0,3353188,3744891,3446197
leader_filters.7,ufscc,24,0.505895,2015-09-05.01:33:20,26302351,26302351,91692858,26448955,92244946,2231,0,65783294,0,26461652
Li10Lo200,ufscc,24,0.310032,2015-09-05.01:33:22,100,4000000,15200000,7003556,25272819,97,0,11457399,7678606,6136814
Li200Lo10,ufscc,24,0.264421,2015-09-05.01:33:24,40000,4000000,15960000,5043423,19806725,1889,0,9776410,5486396,4543919
Li50Lo40,ufscc,24,0.253741,2015-09-05.01:33:26,2500,4000000,15840000,5155646,19973815,613,0,9764930,5484718,4724167
lup.3,ufscc,24,0.103756,2015-09-05.01:33:26,1,1948617,3621672,2206165,4129312,24,0,0,2152189,1977123
